t_s,Q_m3_s,V_face_m_s,v_duct_m_s,DP_system_Pa,DP_fan_Pa,C_v_mg_m3,C_p_mg_m3,C_tot_mg_m3,ppm_voc,P_electrica_W,M_captured_kg,C_Ethanol_mg_m3,W_L_Ethanol_mg_m3,hm_Ethanol_m_s,Jwall_Ethanol_mg_m2_s,C_Propyl acetate_mg_m3,W_L_Propyl acetate_mg_m3,hm_Propyl acetate_m_s,Jwall_Propyl acetate_mg_m2_s,C_1-Propanol_mg_m3,W_L_1-Propanol_mg_m3,hm_1-Propanol_m_s,Jwall_1-Propanol_mg_m2_s,C_Isopropanol_mg_m3,W_L_Isopropanol_mg_m3,hm_Isopropanol_m_s,Jwall_Isopropanol_mg_m2_s,ok_V_face,ok_v_duct,ok_C_limit,ok_LFL,Re_duct0,dp_duct0_Pa,dt
1098,0.54,0.3,4.29718,636.236,409.963,2074.27,1275.31,3349.58,9057.35,636.236,0.548337,694.545,689.8,0.00102832,0.714216,1207.15,1200.67,0.000808242,0.975672,114.283,113.594,0.000906839,0.103636,58.2845,57.9373,0.000896245,0.0522373,False,False,False,True,82470.7,19.3485,1
1099,0.54,0.3,4.29718,636.236,410.504,2043.96,1240.34,3284.3,8925.01,636.236,0.548939,684.397,679.721,0.00102832,0.70378,1189.52,1183.12,0.000808242,0.961416,112.613,111.934,0.000906839,0.102122,57.4329,57.0908,0.000896245,0.051474,False,False,False,True,82470.7,19.3485,1
1100,0.54,0.3,4.29718,636.236,411.046,2015.55,1207.91,3223.46,8800.96,636.236,0.549527,674.884,670.273,0.00102832,0.693998,1172.98,1166.68,0.000808242,0.948053,111.048,110.378,0.000906839,0.100702,56.6346,56.2973,0.000896245,0.0507585,False,False,False,True,82470.7,19.3485,1
1101,0.54,0.3,4.29718,636.236,411.588,1988.9,1177.83,3166.73,8684.6,636.236,0.550099,665.962,661.412,0.00102832,0.684823,1157.47,1151.25,0.000808242,0.935519,109.579,108.919,0.000906839,0.0993709,55.8859,55.553,0.000896245,0.0500875,False,False,False,True,82470.7,19.3485,1
1102,0.54,0.3,4.29718,636.236,412.13,1963.89,1149.93,3113.82,8575.4,636.236,0.550658,657.588,653.095,0.00102832,0.676211,1142.92,1136.78,0.000808242,0.923755,108.201,107.549,0.000906839,0.0981214,55.1832,54.8544,0.000896245,0.0494576,False,False,False,True,82470.7,19.3485,1
1103,0.54,0.3,4.29718,636.236,412.673,1940.4,1124.06,3064.46,8472.83,636.236,0.551204,649.723,645.284,0.00102832,0.668124,1129.25,1123.18,0.000808242,0.912707,106.907,106.263,0.000906839,0.0969478,54.5232,54.1983,0.000896245,0.0488661,False,False,False,True,82470.7,19.3485,1
1104,0.54,0.3,4.29718,636.236,413.216,1918.33,1100.05,3018.38,8376.44,636.236,0.551739,642.331,637.943,0.00102832,0.660523,1116.4,1110.4,0.000808242,0.902323,105.691,105.054,0.000906839,0.0958448,53.9029,53.5817,0.000896245,0.0483102,False,False,False,True,82470.7,19.3485,1
1105,0.54,0.3,4.29718,636.236,413.759,1897.57,1077.79,2975.36,8285.78,636.236,0.552263,635.379,631.038,0.00102832,0.653374,1104.32,1098.39,0.000808242,0.892557,104.547,103.917,0.000906839,0.0948075,53.3194,53.0018,0.000896245,0.0477873,False,False,False,True,82470.7,19.3485,1
1106,0.54,0.3,4.29718,636.236,414.303,1878.02,1057.15,2935.17,8200.44,636.236,0.552776,628.835,624.539,0.00102832,0.646645,1092.95,1087.07,0.000808242,0.883365,103.47,102.847,0.000906839,0.0938311,52.7703,52.4559,0.000896245,0.0472951,False,False,False,True,82470.7,19.3485,1
1107,0.54,0.3,4.29718,636.236,414.847,1859.61,1038,2897.61,8120.06,636.236,0.553281,622.671,618.417,0.00102832,0.640306,1082.23,1076.42,0.000808242,0.874706,102.456,101.839,0.000906839,0.0929113,52.253,51.9418,0.000896245,0.0468315,False,False,False,True,82470.7,19.3485,1
1108,0.54,0.3,4.29718,636.236,415.392,1842.26,1020.24,2862.49,8044.28,636.236,0.553777,616.86,612.645,0.00102832,0.63433,1072.13,1066.37,0.000808242,0.866542,101.5,100.888,0.000906839,0.0920442,51.7654,51.457,0.000896245,0.0463945,False,False,False,True,82470.7,19.3485,1
1109,0.54,0.3,4.29718,636.236,415.936,1825.88,1003.76,2829.64,7972.77,636.236,0.554264,611.376,607.2,0.00102832,0.628692,1062.6,1056.89,0.000808242,0.858839,100.598,99.9914,0.000906839,0.091226,51.3052,50.9996,0.000896245,0.0459821,False,False,False,True,82470.7,19.3485,1
1110,0.54,0.3,4.29718,636.236,416.481,1810.42,988.483,2798.9,7905.24,636.236,0.554745,606.198,602.057,0.00102832,0.623367,1053.6,1047.94,0.000808242,0.851565,99.7457,99.1445,0.000906839,0.0904533,50.8707,50.5676,0.000896245,0.0455926,False,False,False,True,82470.7,19.3485,1
1111,0.54,0.3,4.29718,636.236,417.027,1795.8,974.311,2770.11,7841.41,636.236,0.555218,601.303,597.195,0.00102832,0.618333,1045.09,1039.48,0.000808242,0.844689,98.9403,98.344,0.000906839,0.0897229,50.4599,50.1593,0.000896245,0.0452245,False,False,False,True,82470.7,19.3485,1
1112,0.54,0.3,4.29718,636.236,417.573,1781.97,961.167,2743.13,7781.02,636.236,0.555686,596.672,592.596,0.00102832,0.613571,1037.05,1031.47,0.000808242,0.838184,98.1783,97.5865,0.000906839,0.0890319,50.0713,49.773,0.000896245,0.0448762,False,False,False,True,82470.7,19.3485,1
1113,0.54,0.3,4.29718,636.236,418.119,1768.87,948.976,2717.85,7723.83,636.236,0.556147,592.287,588.24,0.00102832,0.609061,1029.42,1023.89,0.000808242,0.832023,97.4567,96.8693,0.000906839,0.0883775,49.7033,49.4072,0.000896245,0.0445463,False,False,False,True,82470.7,19.3485,1
1114,0.54,0.3,4.29718,636.236,418.665,1756.45,937.668,2694.12,7669.61,636.236,0.556602,588.129,584.111,0.00102832,0.604786,1022.2,1016.7,0.000808242,0.826182,96.7726,96.1893,0.000906839,0.0877572,49.3544,49.0604,0.000896245,0.0442336,False,False,False,True,82470.7,19.3485,1
1115,0.54,0.3,4.29718,636.236,419.212,1744.67,927.181,2671.85,7618.16,636.236,0.557053,584.184,580.193,0.00102832,0.600729,1015.34,1009.88,0.000808242,0.820641,96.1234,95.5441,0.000906839,0.0871685,49.0233,48.7313,0.000896245,0.0439369,False,False,False,True,82470.7,19.3485,1
1116,0.54,0.3,4.29718,636.236,419.759,1733.48,917.453,2650.93,7569.3,636.236,0.557499,580.437,576.471,0.00102832,0.596876,1008.83,1003.41,0.000808242,0.815376,95.5068,94.9312,0.000906839,0.0866094,48.7088,48.4187,0.000896245,0.0436551,False,False,False,True,82470.7,19.3485,1
1117,0.54,0.3,4.29718,636.236,420.307,1722.84,908.431,2631.27,7522.83,636.236,0.55794,576.873,572.932,0.00102832,0.593211,1002.63,997.247,0.000808242,0.810371,94.9205,94.3484,0.000906839,0.0860777,48.4098,48.1214,0.000896245,0.0433871,False,False,False,True,82470.7,19.3485,1
1118,0.54,0.3,4.29718,636.236,420.855,1712.71,900.063,2612.77,7478.6,636.236,0.558378,573.482,569.564,0.00102832,0.589723,996.739,991.383,0.000808242,0.805606,94.3624,93.7937,0.000906839,0.0855716,48.1252,47.8385,0.000896245,0.043132,False,False,False,True,82470.7,19.3485,1
1119,0.54,0.3,4.29718,636.236,421.403,1703.06,892.302,2595.36,7436.45,636.236,0.558811,570.249,566.353,0.00102832,0.5864,991.122,985.796,0.000808242,0.801066,93.8306,93.265,0.000906839,0.0850893,47.8539,47.5689,0.000896245,0.0428889,False,False,False,True,82470.7,19.3485,1
1120,0.54,0.3,4.29718,636.236,421.951,1693.85,885.104,2578.95,7396.24,636.236,0.559242,567.166,563.291,0.00102832,0.583229,985.762,980.465,0.000808242,0.796734,93.3232,92.7607,0.000906839,0.0846292,47.5952,47.3117,0.000896245,0.042657,False,False,False,True,82470.7,19.3485,1
1121,0.54,0.3,4.29718,636.236,422.5,1685.05,878.427,2563.48,7357.83,636.236,0.559669,564.221,560.366,0.00102832,0.580201,980.644,975.374,0.000808242,0.792597,92.8387,92.2791,0.000906839,0.0841898,47.3481,47.066,0.000896245,0.0424355,False,False,False,True,82470.7,19.3485,1
1122,0.54,0.3,4.29718,636.236,423.05,1676.64,872.234,2548.88,7321.12,636.236,0.560092,561.406,557.57,0.00102832,0.577306,975.751,970.507,0.000808242,0.788642,92.3754,91.8186,0.000906839,0.0837697,47.1118,46.8311,0.000896245,0.0422237,False,False,False,True,82470.7,19.3485,1
1123,0.54,0.3,4.29718,636.236,423.599,1668.6,866.491,2535.09,7285.97,636.236,0.560514,558.711,554.894,0.00102832,0.574534,971.067,965.849,0.000808242,0.784857,91.932,91.3779,0.000906839,0.0833675,46.8856,46.6063,0.000896245,0.042021,False,False,False,True,82470.7,19.3485,1
1124,0.54,0.3,4.29718,636.236,424.149,1660.88,861.163,2522.05,7252.3,636.236,0.560932,556.128,552.329,0.00102832,0.571879,966.578,961.384,0.000808242,0.781229,91.5071,90.9555,0.000906839,0.0829822,46.6689,46.3909,0.000896245,0.0418268,False,False,False,True,82470.7,19.3485,1
1125,0.54,0.3,4.29718,636.236,424.699,1653.48,856.222,2509.71,7219.99,636.236,0.561348,553.651,549.868,0.00102832,0.569331,962.272,957.101,0.000808242,0.777748,91.0994,90.5503,0.000906839,0.0826125,46.461,46.1842,0.000896245,0.0416405,False,False,False,True,82470.7,19.3485,1
1126,0.54,0.3,4.29718,636.236,425.25,1646.38,851.64,2498.02,7188.96,636.236,0.561762,551.271,547.505,0.00102832,0.566884,958.137,952.988,0.000808242,0.774406,90.7079,90.1611,0.000906839,0.0822575,46.2613,45.9858,0.000896245,0.0414615,False,False,False,True,82470.7,19.3485,1
1127,0.54,0.3,4.29718,636.236,425.801,1639.54,847.389,2486.93,7159.12,636.236,0.562174,548.983,545.233,0.00102832,0.564531,954.16,949.033,0.000808242,0.771192,90.3314,89.7869,0.000906839,0.0819161,46.0693,45.7949,0.000896245,0.0412894,False,False,False,True,82470.7,19.3485,1
1128,0.54,0.3,4.29718,636.236,426.352,1632.97,843.447,2476.41,7130.4,636.236,0.562584,546.781,543.045,0.00102832,0.562267,950.332,945.225,0.000808242,0.768098,89.969,89.4267,0.000906839,0.0815874,45.8845,45.6112,0.000896245,0.0411238,False,False,False,True,82470.7,19.3485,1
1129,0.54,0.3,4.29718,636.236,426.904,1626.63,839.79,2466.42,7102.72,636.236,0.562992,544.659,540.937,0.00102832,0.560084,946.643,941.556,0.000808242,0.765117,89.6198,89.0796,0.000906839,0.0812707,45.7064,45.4341,0.000896245,0.0409642,False,False,False,True,82470.7,19.3485,1
1130,0.54,0.3,4.29718,636.236,427.456,1620.51,836.399,2456.91,7076.02,636.236,0.563399,542.611,538.904,0.00102832,0.557978,943.085,938.017,0.000808242,0.76224,89.2829,88.7447,0.000906839,0.0809652,45.5346,45.2633,0.000896245,0.0408102,False,False,False,True,82470.7,19.3485,1
1131,0.54,0.3,4.29718,636.236,428.008,1614.61,833.253,2447.86,7050.23,636.236,0.563803,540.633,536.94,0.00102832,0.555945,939.647,934.598,0.000808242,0.759462,88.9575,88.4213,0.000906839,0.0806701,45.3686,45.0984,0.000896245,0.0406614,False,False,False,True,82470.7,19.3485,1
1132,0.54,0.3,4.29718,636.236,428.561,1608.9,830.336,2439.23,7025.3,636.236,0.564207,538.721,535.041,0.00102832,0.553979,936.324,931.293,0.000808242,0.756776,88.6429,88.1086,0.000906839,0.0803848,45.2082,44.9389,0.000896245,0.0405176,False,False,False,True,82470.7,19.3485,1
1133,0.54,0.3,4.29718,636.236,429.114,1603.37,827.63,2431,7001.16,636.236,0.564609,536.871,533.203,0.00102832,0.552076,933.108,928.093,0.000808242,0.754176,88.3383,87.8059,0.000906839,0.0801087,45.0529,44.7845,0.000896245,0.0403784,False,False,False,True,82470.7,19.3485,1
1134,0.54,0.3,4.29718,636.236,429.667,1598.01,825.12,2423.13,6977.78,636.236,0.56501,535.078,531.422,0.00102832,0.550232,929.991,924.994,0.000808242,0.751657,88.0433,87.5126,0.000906839,0.0798411,44.9024,44.6349,0.000896245,0.0402436,False,False,False,True,82470.7,19.3485,1
1135,0.54,0.3,4.29718,636.236,430.221,1592.82,822.792,2415.61,6955.1,636.236,0.56541,533.338,529.695,0.00102832,0.548443,926.968,921.987,0.000808242,0.749214,87.7571,87.2282,0.000906839,0.0795816,44.7565,44.4898,0.000896245,0.0401128,False,False,False,True,82470.7,19.3485,1
1136,0.54,0.3,4.29718,636.236,430.775,1587.78,820.633,2408.41,6933.08,636.236,0.565809,531.65,528.018,0.00102832,0.546707,924.034,919.068,0.000808242,0.746843,87.4793,86.952,0.000906839,0.0793297,44.6148,44.349,0.000896245,0.0399858,False,False,False,True,82470.7,19.3485,1
1137,0.54,0.3,4.29718,636.236,431.33,1582.88,818.63,2401.51,6911.69,636.236,0.566207,530.009,526.388,0.00102832,0.54502,921.182,916.232,0.000808242,0.744538,87.2093,86.6837,0.000906839,0.0790848,44.4771,44.2121,0.000896245,0.0398624,False,False,False,True,82470.7,19.3485,1
1138,0.54,0.3,4.29718,636.236,431.884,1578.11,816.773,2394.88,6890.87,636.236,0.566604,528.413,524.803,0.00102832,0.543378,918.408,913.473,0.000808242,0.742295,86.9467,86.4226,0.000906839,0.0788467,44.3431,44.079,0.000896245,0.0397423,False,False,False,True,82470.7,19.3485,1
1139,0.54,0.3,4.29718,636.236,432.44,1573.47,815.05,2388.52,6870.61,636.236,0.567,526.859,523.259,0.00102832,0.54178,915.707,910.786,0.000808242,0.740112,86.691,86.1685,0.000906839,0.0786148,44.2127,43.9493,0.000896245,0.0396255,False,False,False,True,82470.7,19.3485,1
1140,0.54,0.3,4.29718,636.236,432.995,1568.95,813.452,2382.4,6850.86,636.236,0.567395,525.345,521.755,0.00102832,0.540223,913.075,908.168,0.000808242,0.737985,86.4418,85.9208,0.000906839,0.0783888,44.0856,43.823,0.000896245,0.0395115,False,False,False,True,82470.7,19.3485,1
1141,0.54,0.3,4.29718,636.236,433.551,1523.06,754.477,2277.53,6650.48,636.236,0.567762,509.979,506.495,0.00102832,0.524423,886.369,881.606,0.000808242,0.7164,83.9135,83.4078,0.000906839,0.0760961,42.7962,42.5413,0.000896245,0.0383559,False,False,False,True,82470.7,19.3485,1
1142,0.54,0.3,4.29718,636.236,434.107,1479.87,699.778,2179.65,6461.92,636.236,0.568102,495.52,492.134,0.00102832,0.509554,861.238,856.61,0.000808242,0.696088,81.5343,81.0429,0.000906839,0.0739385,41.5828,41.3351,0.000896245,0.0372684,False,False,False,True,82470.7,19.3485,1
1143,0.54,0.3,4.29718,636.236,434.664,1439.21,649.044,2088.25,6284.34,636.236,0.568417,481.903,478.61,0.00102832,0.495551,837.57,833.069,0.000808242,0.676959,79.2937,78.8158,0.000906839,0.0719067,40.4401,40.1992,0.000896245,0.0362442,False,False,False,True,82470.7,19.3485,1
1144,0.54,0.3,4.29718,636.236,435.22,1400.88,601.988,2002.87,6116.97,636.236,0.56871,469.068,465.864,0.00102832,0.482353,815.264,810.883,0.000808242,0.65893,77.1819,76.7167,0.000906839,0.0699916,39.3631,39.1286,0.000896245,0.035279,False,False,False,True,82470.7,19.3485,1
1145,0.54,0.3,4.29718,636.236,435.778,1364.72,558.344,1923.07,5959.1,636.236,0.568981,456.962,453.84,0.00102832,0.469904,794.223,789.955,0.000808242,0.641924,75.19,74.7368,0.000906839,0.0681852,38.3472,38.1187,0.000896245,0.0343685,False,False,False,True,82470.7,19.3485,1
1146,0.54,0.3,4.29718,636.236,436.335,1330.59,517.864,1848.45,5810.06,636.236,0.569233,445.533,442.49,0.00102832,0.458152,774.359,770.198,0.000808242,0.625869,73.3094,72.8676,0.000906839,0.0664799,37.3881,37.1654,0.000896245,0.0335089,False,False,False,True,82470.7,19.3485,1
1147,0.54,0.3,4.29718,636.236,436.893,1298.34,480.319,1778.66,5669.24,636.236,0.569466,434.735,431.764,0.00102832,0.447047,755.59,751.53,0.000808242,0.610699,71.5326,71.1014,0.000906839,0.0648685,36.4819,36.2645,0.000896245,0.0326967,False,False,False,True,82470.7,19.3485,1
1148,0.54,0.3,4.29718,636.236,437.451,1267.84,445.496,1713.33,5536.06,636.236,0.569683,424.522,421.622,0.00102832,0.436545,737.84,733.875,0.000808242,0.596353,69.8521,69.4311,0.000906839,0.0633447,35.6248,35.4126,0.000896245,0.0319286,False,False,False,True,82470.7,19.3485,1
1149,0.54,0.3,4.29718,636.236,438.01,1238.97,413.197,1652.16,5409.99,636.236,0.569884,414.855,412.02,0.00102832,0.426604,721.038,717.163,0.000808242,0.582773,68.2615,67.85,0.000906839,0.0619022,34.8136,34.6062,0.000896245,0.0312015,False,False,False,True,82470.7,19.3485,1
1150,0.54,0.3,4.29718,636.236,438.569,1211.61,383.24,1594.85,5290.55,636.236,0.57007,405.695,402.924,0.00102832,0.417185,705.118,701.329,0.000808242,0.569906,66.7543,66.352,0.000906839,0.0605355,34.045,33.8421,0.000896245,0.0305126,False,False,False,True,82470.7,19.3485,1
1151,0.54,0.3,4.29718,636.236,439.128,1185.67,355.456,1541.13,5177.27,636.236,0.570243,397.009,394.296,0.00102832,0.408252,690.02,686.312,0.000808242,0.557703,65.325,64.9313,0.000906839,0.0592393,33.316,33.1175,0.000896245,0.0298593,False,False,False,True,82470.7,19.3485,1
1152,0.54,0.3,4.29718,636.236,439.688,1161.04,329.685,1490.73,5069.73,636.236,0.570403,388.762,386.106,0.00102832,0.399772,675.688,672.057,0.000808242,0.546119,63.9681,63.5825,0.000906839,0.0580088,32.624,32.4296,0.000896245,0.0292391,False,False,False,True,82470.7,19.3485,1
1153,0.54,0.3,4.29718,636.236,440.248,1137.64,305.783,1443.42,4967.53,636.236,0.570552,380.926,378.323,0.00102832,0.391714,662.067,658.51,0.000808242,0.53511,62.6787,62.3009,0.000906839,0.0568395,31.9663,31.7759,0.000896245,0.0286497,False,False,False,True,82470.7,19.3485,1
1154,0.54,0.3,4.29718,636.236,440.808,1115.38,283.614,1398.99,4870.32,636.236,0.570689,373.471,370.92,0.00102832,0.384048,649.111,645.623,0.000808242,0.524639,61.4521,61.0817,0.000906839,0.0557272,31.3408,31.1541,0.000896245,0.028089,False,False,False,True,82470.7,19.3485,1
1155,0.54,0.3,4.29718,636.236,441.369,1094.18,263.052,1357.23,4777.75,636.236,0.570817,366.373,363.87,0.00102832,0.376749,636.774,633.352,0.000808242,0.514667,60.2841,59.9208,0.000906839,0.054668,30.7451,30.562,0.000896245,0.0275552,False,False,False,True,82470.7,19.3485,1
1156,0.54,0.3,4.29718,636.236,441.93,1073.97,243.98,1317.95,4689.52,636.236,0.570936,359.606,357.15,0.00102832,0.369791,625.014,621.655,0.000808242,0.505162,59.1708,58.8141,0.000906839,0.0536584,30.1773,29.9975,0.000896245,0.0270463,False,False,False,True,82470.7,19.3485,1
1157,0.54,0.3,4.29718,636.236,442.491,1054.69,226.292,1280.98,4605.32,636.236,0.571046,353.15,350.737,0.00102832,0.363151,613.792,610.493,0.000808242,0.496092,58.1083,57.7581,0.000906839,0.0526949,29.6355,29.4589,0.000896245,0.0265606,False,False,False,True,82470.7,19.3485,1
1158,0.54,0.3,4.29718,636.236,443.053,1036.26,209.886,1246.15,4524.88,636.236,0.571148,346.982,344.611,0.00102832,0.356809,603.071,599.831,0.000808242,0.487427,57.0934,56.7493,0.000906839,0.0517746,29.1179,28.9444,0.000896245,0.0260968,False,False,False,True,82470.7,19.3485,1
1159,0.54,0.3,4.29718,636.236,443.615,1018.65,194.669,1213.32,4447.96,636.236,0.571242,341.083,338.753,0.00102832,0.350743,592.82,589.634,0.000808242,0.479142,56.1229,55.7846,0.000906839,0.0508945,28.6229,28.4524,0.000896245,0.0256531,False,False,False,True,82470.7,19.3485,1
1160,0.54,0.3,4.29718,636.236,444.177,1001.78,180.555,1182.34,4374.33,636.236,0.57133,335.437,333.145,0.00102832,0.344937,583.005,579.872,0.000808242,0.471209,55.1938,54.8611,0.000906839,0.0500519,28.149,27.9813,0.000896245,0.0252284,False,False,False,True,82470.7,19.3485,1
1161,0.54,0.3,4.29718,636.236,444.74,985.623,167.465,1153.09,4303.75,636.236,0.571412,330.025,327.77,0.00102832,0.339372,573.6,570.517,0.000808242,0.463607,54.3033,53.976,0.000906839,0.0492444,27.6949,27.5299,0.000896245,0.0248214,False,False,False,True,82470.7,19.3485,1
1162,0.54,0.3,4.29718,636.236,445.303,970.116,155.324,1125.44,4236.04,636.236,0.571487,324.833,322.614,0.00102832,0.334033,564.575,561.542,0.000808242,0.456313,53.449,53.1268,0.000906839,0.0484696,27.2592,27.0968,0.000896245,0.0244309,False,False,False,True,82470.7,19.3485,1
1163,0.54,0.3,4.29718,636.236,445.866,955.223,144.063,1099.29,4171.01,636.236,0.571557,319.846,317.661,0.00102832,0.328904,555.908,552.921,0.000808242,0.449308,52.6284,52.3112,0.000906839,0.0477255,26.8407,26.6808,0.000896245,0.0240558,False,False,False,True,82470.7,19.3485,1
1164,0.54,0.3,4.29718,636.236,446.43,940.903,133.618,1074.52,4108.48,636.236,0.571622,315.051,312.899,0.00102832,0.323974,547.574,544.632,0.000808242,0.442572,51.8395,51.527,0.000906839,0.0470101,26.4383,26.2808,0.000896245,0.0236952,False,False,False,True,82470.7,19.3485,1
1165,0.54,0.3,4.29718,636.236,446.994,927.12,123.931,1051.05,4048.3,636.236,0.571682,310.436,308.315,0.00102832,0.319228,539.553,536.653,0.000808242,0.436089,51.0801,50.7722,0.000906839,0.0463214,26.051,25.8958,0.000896245,0.0233481,False,False,False,True,82470.7,19.3485,1
1166,0.54,0.3,4.29718,636.236,447.558,913.838,114.946,1028.78,3990.3,636.236,0.571738,305.989,303.898,0.00102832,0.314655,531.824,528.966,0.000808242,0.429842,50.3483,50.0449,0.000906839,0.0456578,25.6778,25.5249,0.000896245,0.0230136,False,False,False,True,82470.7,19.3485,1
1167,0.54,0.3,4.29718,636.236,448.123,901.027,106.612,1007.64,3934.37,636.236,0.57179,301.699,299.638,0.00102832,0.310244,524.368,521.55,0.000808242,0.423816,49.6425,49.3433,0.000906839,0.0450178,25.3179,25.167,0.000896245,0.022691,False,False,False,True,82470.7,19.3485,1
1168,0.54,0.3,4.29718,636.236,448.688,888.657,98.8831,987.54,3880.35,636.236,0.571838,297.557,295.524,0.00102832,0.305984,517.169,514.39,0.000808242,0.417997,48.961,48.6659,0.000906839,0.0443997,24.9703,24.8215,0.000896245,0.0223795,False,False,False,True,82470.7,19.3485,1
1169,0.54,0.3,4.29718,636.236,449.254,876.701,91.714,968.415,3828.14,636.236,0.571883,293.554,291.548,0.00102832,0.301867,510.211,507.469,0.000808242,0.412373,48.3022,48.0111,0.000906839,0.0438023,24.6343,24.4875,0.000896245,0.0220784,False,False,False,True,82470.7,19.3485,1
1170,0.54,0.3,4.29718,636.236,449.82,865.132,85.0648,950.197,3777.63,636.236,0.571924,289.68,287.701,0.00102832,0.297884,503.478,500.772,0.000808242,0.406932,47.6648,47.3775,0.000906839,0.0432243,24.3092,24.1644,0.000896245,0.021787,False,False,False,True,82470.7,19.3485,1
1171,0.54,0.3,4.29718,636.236,450.386,853.927,78.8976,932.825,3728.7,636.236,0.571962,285.928,283.975,0.00102832,0.294026,496.957,494.287,0.000808242,0.401661,47.0475,46.7639,0.000906839,0.0426645,23.9944,23.8515,0.000896245,0.0215049,False,False,False,True,82470.7,19.3485,1
1172,0.54,0.3,4.29718,636.236,450.952,843.065,73.1775,916.242,3681.27,636.236,0.571998,282.291,280.362,0.00102832,0.290286,490.635,487.999,0.000808242,0.396552,46.449,46.169,0.000906839,0.0421218,23.6892,23.548,0.000896245,0.0212313,False,False,False,True,82470.7,19.3485,1
1173,0.54,0.3,4.29718,636.236,451.519,832.524,67.8721,900.396,3635.24,636.236,0.572031,278.761,276.857,0.00102832,0.286656,484.501,481.897,0.000808242,0.391594,45.8683,45.5918,0.000906839,0.0415951,23.393,23.2536,0.000896245,0.0209658,False,False,False,True,82470.7,19.3485,1
1174,0.54,0.3,4.29718,636.236,452.087,822.286,62.9514,885.237,3590.54,636.236,0.572061,275.333,273.452,0.00102832,0.283131,478.543,475.971,0.000808242,0.386778,45.3042,45.0311,0.000906839,0.0410836,23.1053,22.9677,0.000896245,0.020708,False,False,False,True,82470.7,19.3485,1
1175,0.54,0.3,4.29718,636.236,452.654,812.332,58.3874,870.72,3547.08,636.236,0.57209,272.001,270.142,0.00102832,0.279704,472.75,470.21,0.000808242,0.382096,44.7558,44.486,0.000906839,0.0405863,22.8256,22.6896,0.000896245,0.0204574,False,False,False,True,82470.7,19.3485,1
1176,0.54,0.3,4.29718,636.236,453.222,802.648,54.1543,856.802,3504.79,636.236,0.572116,268.758,266.922,0.00102832,0.276369,467.114,464.604,0.000808242,0.377541,44.2222,43.9557,0.000906839,0.0401024,22.5535,22.4191,0.000896245,0.0202135,False,False,False,True,82470.7,19.3485,1
1177,0.54,0.3,4.29718,636.236,453.79,793.216,50.2281,843.444,3463.6,636.236,0.572141,265.6,263.785,0.00102832,0.273122,461.625,459.145,0.000808242,0.373105,43.7026,43.4392,0.000906839,0.0396312,22.2885,22.1557,0.000896245,0.019976,False,False,False,True,82470.7,19.3485,1
1178,0.54,0.3,4.29718,636.236,454.359,784.024,46.5866,830.611,3423.47,636.236,0.572163,262.522,260.728,0.00102832,0.269957,456.276,453.824,0.000808242,0.368781,43.1961,42.9358,0.000906839,0.039172,22.0302,21.899,0.000896245,0.0197445,False,False,False,True,82470.7,19.3485,1
1179,0.54,0.3,4.29718,636.236,454.928,775.057,43.2091,818.266,3384.31,636.236,0.572184,259.519,257.746,0.00102832,0.266869,451.058,448.634,0.000808242,0.364563,42.7021,42.4447,0.000906839,0.038724,21.7782,21.6485,0.000896245,0.0195186,False,False,False,True,82470.7,19.3485,1
1180,0.54,0.3,4.29718,636.236,455.497,766.304,40.0764,806.381,3346.09,636.236,0.572204,256.589,254.836,0.00102832,0.263856,445.964,443.567,0.000808242,0.360446,42.2199,41.9654,0.000906839,0.0382866,21.5323,21.404,0.000896245,0.0192982,False,False,False,True,82470.7,19.3485,1
1181,0.54,0.3,4.29718,636.236,456.067,757.753,37.1709,794.924,3308.75,636.236,0.572222,253.725,251.992,0.00102832,0.260911,440.987,438.617,0.000808242,0.356424,41.7488,41.4971,0.000906839,0.0378594,21.292,21.1652,0.000896245,0.0190829,False,False,False,True,82470.7,19.3485,1
1182,0.54,0.3,4.29718,636.236,456.637,749.394,34.476,783.87,3272.25,636.236,0.572238,250.926,249.212,0.00102832,0.258033,436.122,433.779,0.000808242,0.352492,41.2882,41.0393,0.000906839,0.0374417,21.0571,20.9317,0.000896245,0.0188723,False,False,False,True,82470.7,19.3485,1
1183,0.54,0.3,4.29718,636.236,457.207,741.216,31.9765,773.192,3236.54,636.236,0.572254,248.188,246.492,0.00102832,0.255217,431.363,429.045,0.000808242,0.348645,40.8376,40.5915,0.000906839,0.0370331,20.8273,20.7033,0.000896245,0.0186664,False,False,False,True,82470.7,19.3485,1
1184,0.54,0.3,4.29718,636.236,457.778,733.21,29.6582,762.868,3201.58,636.236,0.572268,245.507,243.83,0.00102832,0.25246,426.704,424.411,0.000808242,0.34488,40.3965,40.153,0.000906839,0.0366331,20.6024,20.4796,0.000896245,0.0184648,False,False,False,True,82470.7,19.3485,1
1185,0.54,0.3,4.29718,636.236,458.349,725.368,27.508,752.876,3167.34,636.236,0.572282,242.881,241.222,0.00102832,0.24976,422.14,419.871,0.000808242,0.341191,39.9644,39.7236,0.000906839,0.0362413,20.382,20.2606,0.000896245,0.0182673,False,False,False,True,82470.7,19.3485,1
