t_s,Q_m3_s,hm_Ethanol_m_s,hm_Propyl acetate_m_s,hm_1-Propanol_m_s,hm_Isopropanol_m_s
134,0.54,0.00102832,0.000808242,0.000906839,0.000896245
135,0.54,0.00102832,0.000808242,0.000906839,0.000896245
136,0.54,0.00102832,0.000808242,0.000906839,0.000896245
137,0.54,0.00102832,0.000808242,0.000906839,0.000896245
138,0.54,0.00102832,0.000808242,0.000906839,0.000896245
139,0.54,0.00102832,0.000808242,0.000906839,0.000896245
140,0.54,0.00102832,0.000808242,0.000906839,0.000896245
141,0.54,0.00102832,0.000808242,0.000906839,0.000896245
142,0.54,0.00102832,0.000808242,0.000906839,0.000896245
143,0.54,0.00102832,0.000808242,0.000906839,0.000896245
144,0.54,0.00102832,0.000808242,0.000906839,0.000896245
145,0.54,0.00102832,0.000808242,0.000906839,0.000896245
146,0.54,0.00102832,0.000808242,0.000906839,0.000896245
147,0.54,0.00102832,0.000808242,0.000906839,0.000896245
148,0.54,0.00102832,0.000808242,0.000906839,0.000896245
149,0.54,0.00102832,0.000808242,0.000906839,0.000896245
150,0.54,0.00102832,0.000808242,0.000906839,0.000896245
151,0.54,0.00102832,0.000808242,0.000906839,0.000896245
152,0.54,0.00102832,0.000808242,0.000906839,0.000896245
153,0.54,0.00102832,0.000808242,0.000906839,0.000896245
154,0.54,0.00102832,0.000808242,0.000906839,0.000896245
155,0.54,0.00102832,0.000808242,0.000906839,0.000896245
156,0.54,0.00102832,0.000808242,0.000906839,0.000896245
157,0.54,0.00102832,0.000808242,0.000906839,0.000896245
158,0.54,0.00102832,0.000808242,0.000906839,0.000896245
159,0.54,0.00102832,0.000808242,0.000906839,0.000896245
160,0.54,0.00102832,0.000808242,0.000906839,0.000896245
161,0.54,0.00102832,0.000808242,0.000906839,0.000896245
162,0.54,0.00102832,0.000808242,0.000906839,0.000896245
163,0.54,0.00102832,0.000808242,0.000906839,0.000896245
164,0.54,0.00102832,0.000808242,0.000906839,0.000896245
165,0.54,0.00102832,0.000808242,0.000906839,0.000896245
166,0.54,0.00102832,0.000808242,0.000906839,0.000896245
167,0.54,0.00102832,0.000808242,0.000906839,0.000896245
168,0.54,0.00102832,0.000808242,0.000906839,0.000896245
169,0.54,0.00102832,0.000808242,0.000906839,0.000896245
170,0.54,0.00102832,0.000808242,0.000906839,0.000896245
171,0.54,0.00102832,0.000808242,0.000906839,0.000896245
172,0.54,0.00102832,0.000808242,0.000906839,0.000896245
173,0.54,0.00102832,0.000808242,0.000906839,0.000896245
174,0.54,0.00102832,0.000808242,0.000906839,0.000896245
175,0.54,0.00102832,0.000808242,0.000906839,0.000896245
176,0.54,0.00102832,0.000808242,0.000906839,0.000896245
177,0.54,0.00102832,0.000808242,0.000906839,0.000896245
178,0.54,0.00102832,0.000808242,0.000906839,0.000896245
179,0.54,0.00102832,0.000808242,0.000906839,0.000896245
180,0.54,0.00102832,0.000808242,0.000906839,0.000896245
181,0.54,0.00102832,0.000808242,0.000906839,0.000896245
182,0.54,0.00102832,0.000808242,0.000906839,0.000896245
183,0.54,0.00102832,0.000808242,0.000906839,0.000896245
184,0.54,0.00102832,0.000808242,0.000906839,0.000896245
185,0.54,0.00102832,0.000808242,0.000906839,0.000896245
186,0.54,0.00102832,0.000808242,0.000906839,0.000896245
187,0.54,0.00102832,0.000808242,0.000906839,0.000896245
188,0.54,0.00102832,0.000808242,0.000906839,0.000896245
189,0.54,0.00102832,0.000808242,0.000906839,0.000896245
190,0.54,0.00102832,0.000808242,0.000906839,0.000896245
191,0.54,0.00102832,0.000808242,0.000906839,0.000896245
192,0.54,0.00102832,0.000808242,0.000906839,0.000896245
193,0.54,0.00102832,0.000808242,0.000906839,0.000896245
194,0.54,0.00102832,0.000808242,0.000906839,0.000896245
195,0.54,0.00102832,0.000808242,0.000906839,0.000896245
196,0.54,0.00102832,0.000808242,0.000906839,0.000896245
197,0.54,0.00102832,0.000808242,0.000906839,0.000896245
198,0.54,0.00102832,0.000808242,0.000906839,0.000896245
199,0.54,0.00102832,0.000808242,0.000906839,0.000896245
200,0.54,0.00102832,0.000808242,0.000906839,0.000896245
201,0.54,0.00102832,0.000808242,0.000906839,0.000896245
202,0.54,0.00102832,0.000808242,0.000906839,0.000896245
203,0.54,0.00102832,0.000808242,0.000906839,0.000896245
204,0.54,0.00102832,0.000808242,0.000906839,0.000896245
205,0.54,0.00102832,0.000808242,0.000906839,0.000896245
206,0.54,0.00102832,0.000808242,0.000906839,0.000896245
207,0.54,0.00102832,0.000808242,0.000906839,0.000896245
208,0.54,0.00102832,0.000808242,0.000906839,0.000896245
209,0.54,0.00102832,0.000808242,0.000906839,0.000896245
210,0.54,0.00102832,0.000808242,0.000906839,0.000896245
211,0.54,0.00102832,0.000808242,0.000906839,0.000896245
212,0.54,0.00102832,0.000808242,0.000906839,0.000896245
213,0.54,0.00102832,0.000808242,0.000906839,0.000896245
214,0.54,0.00102832,0.000808242,0.000906839,0.000896245
215,0.54,0.00102832,0.000808242,0.000906839,0.000896245
216,0.54,0.00102832,0.000808242,0.000906839,0.000896245
217,0.54,0.00102832,0.000808242,0.000906839,0.000896245
218,0.54,0.00102832,0.000808242,0.000906839,0.000896245
219,0.54,0.00102832,0.000808242,0.000906839,0.000896245
220,0.54,0.00102832,0.000808242,0.000906839,0.000896245
221,0.54,0.00102832,0.000808242,0.000906839,0.000896245
222,0.54,0.00102832,0.000808242,0.000906839,0.000896245
223,0.54,0.00102832,0.000808242,0.000906839,0.000896245
224,0.54,0.00102832,0.000808242,0.000906839,0.000896245
225,0.54,0.00102832,0.000808242,0.000906839,0.000896245
226,0.54,0.00102832,0.000808242,0.000906839,0.000896245
227,0.54,0.00102832,0.000808242,0.000906839,0.000896245
228,0.54,0.00102832,0.000808242,0.000906839,0.000896245
229,0.54,0.00102832,0.000808242,0.000906839,0.000896245
230,0.54,0.00102832,0.000808242,0.000906839,0.000896245
231,0.54,0.00102832,0.000808242,0.000906839,0.000896245
232,0.54,0.00102832,0.000808242,0.000906839,0.000896245
233,0.54,0.00102832,0.000808242,0.000906839,0.000896245
234,0.54,0.00102832,0.000808242,0.000906839,0.000896245
235,0.54,0.00102832,0.000808242,0.000906839,0.000896245
236,0.54,0.00102832,0.000808242,0.000906839,0.000896245
237,0.54,0.00102832,0.000808242,0.000906839,0.000896245
238,0.54,0.00102832,0.000808242,0.000906839,0.000896245
239,0.54,0.00102832,0.000808242,0.000906839,0.000896245
240,0.54,0.00102832,0.000808242,0.000906839,0.000896245
241,0.54,0.00102832,0.000808242,0.000906839,0.000896245
242,0.54,0.00102832,0.000808242,0.000906839,0.000896245
243,0.54,0.00102832,0.000808242,0.000906839,0.000896245
244,0.54,0.00102832,0.000808242,0.000906839,0.000896245
245,0.54,0.00102832,0.000808242,0.000906839,0.000896245
246,0.54,0.00102832,0.000808242,0.000906839,0.000896245
247,0.54,0.00102832,0.000808242,0.000906839,0.000896245
248,0.54,0.00102832,0.000808242,0.000906839,0.000896245
249,0.54,0.00102832,0.000808242,0.000906839,0.000896245
250,0.54,0.00102832,0.000808242,0.000906839,0.000896245
251,0.54,0.00102832,0.000808242,0.000906839,0.000896245
252,0.54,0.00102832,0.000808242,0.000906839,0.000896245
253,0.54,0.00102832,0.000808242,0.000906839,0.000896245
254,0.54,0.00102832,0.000808242,0.000906839,0.000896245
255,0.54,0.00102832,0.000808242,0.000906839,0.000896245
256,0.54,0.00102832,0.000808242,0.000906839,0.000896245
257,0.54,0.00102832,0.000808242,0.000906839,0.000896245
258,0.54,0.00102832,0.000808242,0.000906839,0.000896245
259,0.54,0.00102832,0.000808242,0.000906839,0.000896245
260,0.54,0.00102832,0.000808242,0.000906839,0.000896245
261,0.54,0.00102832,0.000808242,0.000906839,0.000896245
262,0.54,0.00102832,0.000808242,0.000906839,0.000896245
263,0.54,0.00102832,0.000808242,0.000906839,0.000896245
264,0.54,0.00102832,0.000808242,0.000906839,0.000896245
265,0.54,0.00102832,0.000808242,0.000906839,0.000896245
266,0.54,0.00102832,0.000808242,0.000906839,0.000896245
267,0.54,0.00102832,0.000808242,0.000906839,0.000896245
268,0.54,0.00102832,0.000808242,0.000906839,0.000896245
269,0.54,0.00102832,0.000808242,0.000906839,0.000896245
270,0.54,0.00102832,0.000808242,0.000906839,0.000896245
271,0.54,0.00102832,0.000808242,0.000906839,0.000896245
272,0.54,0.00102832,0.000808242,0.000906839,0.000896245
273,0.54,0.00102832,0.000808242,0.000906839,0.000896245
